fecha,hora,pelicula,cine,cadena,barrio,direccion,formato,version,duracion_min,genero,link_compra
2026-06-10,21:50,Backrooms,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,21:50,Michael,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,127,Música; Drama; Historia,https://www.cinemark.com.ar/pelicula/michael
2026-06-10,21:50,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:00,Amos del Universo,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar/pelicula/amos-del-universo
2026-06-10,22:00,THE AMAZING DIGITAL CIRCUS: EL ÚLTIMO ACTO,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,93,Animación,https://www.cinemark.com.ar/pelicula/the-amazing-digital-circus-el-ultimo-acto
2026-06-10,22:00,THE AMAZING DIGITAL CIRCUS: EL ÚLTIMO ACTO,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,93,Animación,https://www.cinemark.com.ar/pelicula/the-amazing-digital-circus-el-ultimo-acto
2026-06-10,22:00,THE AMAZING DIGITAL CIRCUS: EL ÚLTIMO ACTO,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Subtitulada,93,Animación,https://www.cinemark.com.ar/pelicula/the-amazing-digital-circus-el-ultimo-acto
2026-06-10,22:00,Backrooms,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,22:00,EL DÍA DE LA REVELACIÓN,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-10,22:00,THE AMAZING DIGITAL CIRCUS: EL ÚLTIMO ACTO,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,93,Animación,https://www.cinemark.com.ar/pelicula/the-amazing-digital-circus-el-ultimo-acto
2026-06-10,22:00,Backrooms,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",PREMIER 2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,22:00,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-10,22:00,THE MANDALORIAN AND GROGU,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,132,Ciencia Ficción; Aventuras,https://www.cinemark.com.ar/pelicula/the-mandalorian-and-grogu
2026-06-10,22:00,THE AMAZING DIGITAL CIRCUS: EL ÚLTIMO ACTO,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,93,Animación,https://www.cinemark.com.ar/pelicula/the-amazing-digital-circus-el-ultimo-acto
2026-06-10,22:10,Backrooms,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,22:10,EL DÍA DE LA REVELACIÓN,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-10,22:10,EL DÍA DE LA REVELACIÓN,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-10,22:15,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:20,Backrooms,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,22:20,Obsesión,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,91,Suspense,https://www.cinemark.com.ar/pelicula/obsesion
2026-06-10,22:20,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:30,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:30,THE AMAZING DIGITAL CIRCUS: EL ÚLTIMO ACTO,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,93,Animación,https://www.cinemark.com.ar/pelicula/the-amazing-digital-circus-el-ultimo-acto
2026-06-10,22:30,Amos del Universo,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",DBOX 2D,Subtitulada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar/pelicula/amos-del-universo
2026-06-10,22:30,THE AMAZING DIGITAL CIRCUS: EL ÚLTIMO ACTO,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Subtitulada,93,Animación,https://www.cinemark.com.ar/pelicula/the-amazing-digital-circus-el-ultimo-acto
2026-06-10,22:30,Amos del Universo,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Subtitulada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar/pelicula/amos-del-universo
2026-06-10,22:30,Amos del Universo,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",XD 2D,Subtitulada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar/pelicula/amos-del-universo
2026-06-10,22:30,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",PREMIER 2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:35,Backrooms,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Doblada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,22:40,Obsesión,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,91,Suspense,https://www.cinemark.com.ar/pelicula/obsesion
2026-06-10,22:40,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:40,THE MANDALORIAN AND GROGU,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,132,Ciencia Ficción; Aventuras,https://www.cinemark.com.ar/pelicula/the-mandalorian-and-grogu
2026-06-10,22:40,Backrooms,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,22:45,Obsesión,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,91,Suspense,https://www.cinemark.com.ar/pelicula/obsesion
2026-06-10,22:45,Michael,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,127,Música; Drama; Historia,https://www.cinemark.com.ar/pelicula/michael
2026-06-10,22:50,Amos del Universo,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar/pelicula/amos-del-universo
2026-06-10,22:50,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",DBOX 2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:50,Backrooms,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",DBOX 2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,22:50,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,22:50,Backrooms,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,23:00,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,23:00,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,23:00,Backrooms,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar/pelicula/backrooms
2026-06-10,23:00,Amos del Universo,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Subtitulada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar/pelicula/amos-del-universo
2026-06-10,23:00,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Doblada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,23:00,El Diablo Viste A La Moda 2,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Doblada,120,Comedia; Drama,https://www.cinemark.com.ar/pelicula/el-diablo-viste-a-la-moda-2
2026-06-10,23:00,MORTAL KOMBAT II,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,116,Acción,https://www.cinemark.com.ar/pelicula/mortal-kombat-ii
2026-06-10,23:00,SCARY MOVIE TERRORÍFICAMENTE INCORRECTA,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",4D 2D,Subtitulada,95,Comedia; Terror,https://www.cinemark.com.ar/pelicula/scary-movie-terrorificamente-incorrecta
2026-06-10,23:00,El Diablo Viste A La Moda 2,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,120,Comedia; Drama,https://www.cinemark.com.ar/pelicula/el-diablo-viste-a-la-moda-2
2026-06-11,12:30,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",PREMIER 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,13:00,EL DÍA DE LA REVELACIÓN,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Doblada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,13:00,EL DÍA DE LA REVELACIÓN,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,13:00,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",XD 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,13:15,EL DÍA DE LA REVELACIÓN,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,14:00,EL DÍA DE LA REVELACIÓN,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Doblada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,15:30,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",PREMIER 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,16:00,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",XD 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,16:10,EL DÍA DE LA REVELACIÓN,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,16:10,EL DÍA DE LA REVELACIÓN,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,16:30,EL DÍA DE LA REVELACIÓN,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,17:00,EL DÍA DE LA REVELACIÓN,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,18:30,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",PREMIER 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,19:00,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",XD 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,19:20,EL DÍA DE LA REVELACIÓN,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,19:20,EL DÍA DE LA REVELACIÓN,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,19:45,EL DÍA DE LA REVELACIÓN,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,20:00,EL DÍA DE LA REVELACIÓN,Cinemark Puerto Madero,Cinemark Hoyts,CABA,"Av Alicia Moreau de Justo 1920, Puerto Madero",2D,Doblada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,21:30,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",PREMIER 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
2026-06-11,22:00,EL DÍA DE LA REVELACIÓN,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",XD 2D,Subtitulada,146,Ciencia Ficción,https://www.cinemark.com.ar/pelicula/el-dia-de-la-revelacion
